Month,Battalion,90th Percentile Response Time (s)
2020-03,B01,980.0
2020-03,B02,939.8
2020-03,B03,1088.2
2020-03,B04,902.8
2020-03,B05,993.8
2020-03,B06,898.0
2020-03,B07,936.0
2020-03,B08,1106.8
2020-03,B09,1065.0
2020-03,B10,1131.8
2020-03,B99,805.5
2020-04,B01,962.5
2020-04,B02,998.0
2020-04,B03,1124.2
2020-04,B04,979.4
2020-04,B05,957.0
2020-04,B06,997.8
2020-04,B07,1028.3
2020-04,B08,1100.5
2020-04,B09,1077.8
2020-04,B10,1162.6
2020-04,B99,1060.8
2020-05,B01,1110.3
2020-05,B02,988.5
2020-05,B03,1065.7
2020-05,B04,888.3
2020-05,B05,863.2
2020-05,B06,943.7
2020-05,B07,983.0
2020-05,B08,1045.0
2020-05,B09,1040.2
2020-05,B10,1097.6
2020-05,B99,1137.1
2020-06,B01,946.6
2020-06,B02,973.0
2020-06,B03,1089.4
2020-06,B04,926.0
2020-06,B05,892.2
2020-06,B06,991.0
2020-06,B07,1012.0
2020-06,B08,1102.3
2020-06,B09,1114.0
2020-06,B10,1121.5
2020-06,B99,1195.5
2020-07,B01,977.6
2020-07,B02,1094.0
2020-07,B03,1080.8
2020-07,B04,987.0
2020-07,B05,915.8
2020-07,B06,941.6
2020-07,B07,1129.8
2020-07,B08,1039.9
2020-07,B09,1252.0
2020-07,B10,1133.5
2020-07,B99,1356.0
2020-08,B01,1018.0
2020-08,B02,981.0
2020-08,B03,1119.6
2020-08,B04,901.1
2020-08,B05,1061.0
2020-08,B06,981.8
2020-08,B07,1160.6
2020-08,B08,1152.2
2020-08,B09,1127.5
2020-08,B10,1146.9
2020-08,B99,1234.2
2020-09,B01,1000.1
2020-09,B02,986.3
2020-09,B03,1133.5
2020-09,B04,934.0
2020-09,B05,994.3
2020-09,B06,1034.6
2020-09,B07,1182.0
2020-09,B08,1120.4
2020-09,B09,1150.8
2020-09,B10,1191.6
2020-09,B99,1082.0
2020-10,B01,1009.2
2020-10,B02,965.6
2020-10,B03,1202.8
2020-10,B04,998.0
2020-10,B05,1381.6
2020-10,B06,1075.0
2020-10,B07,1093.6
2020-10,B08,1178.0
2020-10,B09,1091.8
2020-10,B10,1111.4
2020-10,B99,1624.6
2020-11,B01,1039.2
2020-11,B02,1018.0
2020-11,B03,1126.0
2020-11,B04,996.0
2020-11,B05,1013.9
2020-11,B06,1080.4
2020-11,B07,1051.8
2020-11,B08,1082.3
2020-11,B09,1120.6
2020-11,B10,1204.3
2020-11,B12,2542.0
2020-11,B99,998.2
2020-12,B01,1169.4
2020-12,B02,1098.0
2020-12,B03,1169.4
2020-12,B04,1080.6
2020-12,B05,1172.0
2020-12,B06,1122.5
2020-12,B07,1167.3
2020-12,B08,1324.2
2020-12,B09,1229.6
2020-12,B10,1254.4
2020-12,B99,1323.0
2021-01,B01,1113.0
2021-01,B02,1009.6
2021-01,B03,1145.0
2021-01,B04,974.7
2021-01,B05,1040.8
2021-01,B06,1019.2
2021-01,B07,1111.1
2021-01,B08,1171.3
2021-01,B09,1140.8
2021-01,B10,1166.0
2021-01,B99,1108.2
2021-02,B01,1117.8
2021-02,B02,1109.0
2021-02,B03,1199.3
2021-02,B04,1137.0
2021-02,B05,1092.6
2021-02,B06,1059.1
2021-02,B07,1102.5
2021-02,B08,1190.3
2021-02,B09,1208.8
2021-02,B10,1148.2
2021-02,B99,1276.6
2021-03,B01,1150.8
2021-03,B02,1111.2
2021-03,B03,1115.9
2021-03,B04,1027.0
2021-03,B05,1242.7
2021-03,B06,1038.2
2021-03,B07,1197.0
2021-03,B08,1237.0
2021-03,B09,1297.0
2021-03,B10,1187.4
2021-03,B99,1065.4
